{0: 'ReplicaExchange_SwapSuccessRatio', 1: 'ReplicaExchange_CurrentTemp', 2: 'score', 3: 'ReplicaExchange_MaxTempFrequency', 4: 'ReplicaExchange_MinTempFrequency', 'STAT2HEADER': 'STAT2HEADER', 'STAT2HEADER_IMP_VERSIONS': "{'PMI_VERSION': '2.3.1', 'IMP_VERSION': '2.3.1'}", 'STAT2HEADER_ENVIRON': "{'SGE_STDIN_PATH': '/dev/null', 'SGE_JOB_SPOOL_DIR': '/var/spool/sge/qb3cell/ad6/active_jobs/8955506.1', 'UPSTART_EVENTS': 'runlevel', 'ENVIRONMENT': 'BATCH', 'NHOSTS': '2', 'OMPI_MCA_orte_num_nodes': '2', 'OMPI_MCA_orte_app_num': '0', 'previous': 'N', 'CONSOLETYPE': 'vt', 'SHELL': '/bin/bash', 'PREVLEVEL': 'N', 'LANGSH_SOURCED': '1', 'UPSTART_INSTANCE': '', 'runlevel': '3', 'SGE_STDERR_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts/nup84.isd.modeling500_batchsubmit.sh.e8955506', 'JOB_ID': '8955506', 'PYTHONPATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi', 'REQUEST': 'nup84.isd.modeling500_batchsubmit.sh', 'SGE_CLUSTER_NAME': 'qb3cluster', 'SGE_TASK_STEPSIZE': 'undefined', 'HOSTNAME': 'ad6', 'OMPI_MCA_orte_ess_num_procs': '6', 'SELINUX_LEVEL_REQUESTED': '', 'SGE_O_HOST': 'chef', 'RUNLEVEL': '3', 'MAIL': '/var/spool/mail/saxen', 'MPI_INCLUDE': '/netopt/mpi/openmpi-1.6.5-nodlopen/include', 'SSH_CONNECTION': '24.4.149.176 58609 169.230.126.5 22', 'SGE_STDOUT_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts/nup84.isd.modeling500_batchsubmit.sh.o8955506', 'SGE_O_SHELL': '/bin/bash', 'PE_HOSTFILE': '/var/spool/sge/qb3cell/ad6/active_jobs/8955506.1/pe_hostfile', 'OMPI_MCA_orte_num_restarts': '0', 'LESSOPEN': '||/usr/bin/lesspipe.sh %s', 'CVS_RSH': 'ssh', 'USER': 'saxen', 'HOME': '/netapp/home/saxen', 'SHLVL': '2', 'JOB_NAME': 'nup84.isd.modeling500_batchsubmit.sh', 'OMPI_MCA_orte_local_daemon_uri': '3764256768.0;tcp://172.19.17.6:50295', 'PE': 'ompi', 'NQUEUES': '2', 'JOB_SCRIPT': '/var/spool/sge/qb3cell/ad6/job_scripts/8955506', 'MODULESHOME': '/usr/share/Modules', 'SGE_ROOT': '/usr/local/sge', 'OMPI_MCA_orte_ess_node_rank': '1', 'OMPI_COMM_WORLD_NODE_RANK': '1', 'UPSTART_JOB': 'rc', 'SGE_O_HOME': '/netapp/home/saxen', 'OMPI_COMM_WORLD_LOCAL_SIZE': '5', 'TMPDIR': '/tmp/8955506.1.long.q', 'MODULEPATH': '/diva1/home/modules/:/netapp/home/saxen/privatemodules/:/usr/share/Modules/modulefiles:/etc/modulefiles', 'OMPI_MCA_orte_cpu_model': 'AMD Opteron(tm) Processor 6174', 'SGE_BINARY_PATH': '/usr/local/sge/bin/linux-x64', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=01;05;37;41:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arj=01;31:*.taz=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lz=01;31:*.xz=01;31:*.bz2=01;31:*.tbz=01;31:*.tbz2=01;31:*.bz=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.rar=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.axv=01;35:*.anx=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=01;36:*.au=01;36:*.flac=01;36:*.mid=01;36:*.midi=01;36:*.mka=01;36:*.mp3=01;36:*.mpc=01;36:*.ogg=01;36:*.ra=01;36:*.wav=01;36:*.axa=01;36:*.oga=01;36:*.spx=01;36:*.xspf=01;36:', 'OMPI_MCA_orte_hnp_uri': '3764256768.0;tcp://172.19.17.6:50295', 'OMPI_COMM_WORLD_SIZE': '6', '_LMFILES_': '/etc/modulefiles/openmpi-1.6-nodlopen:/diva1/home/modules//sali-libraries-x86_64:/diva1/home/modules//imp-fast-mpi/2.3.1-x86_64', 'TMP': '/tmp/8955506.1.long.q', 'RESTARTED': '0', 'SGE_O_MAIL': '/var/spool/mail/saxen', 'QUEUE': 'long.q', 'SELINUX_USE_CURRENT_RANGE': '', 'SGE_TASK_FIRST': 'undefined', 'MPI_BIN': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin', 'HISTSIZE': '1000', 'LD_LIBRARY_PATH': '/salilab/diva1/home/imp/master/2.3.1/lib/fastmpi:/salilab/diva1/home/libs/x86_64:/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'MPI_LIB': '/netopt/mpi/openmpi-1.6.5-nodlopen/lib', 'LANG': 'en_US.UTF-8', 'G_BROKEN_FILENAMES': '1', 'SGE_CWD_PATH': '/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts', '_': '/netopt/mpi/openmpi-1.6.5-nodlopen/bin/mpirun', 'OMPI_MCA_orte_precondition_transports': 'aa80daea72964066-2a615b2002e08bc9', 'SGE_TASK_ID': 'undefined', 'MPI_SYSCONFIG': '/netopt/mpi/openmpi-1.6.5-nodlopen/etc', 'SELINUX_ROLE_REQUESTED': '', 'OMPI_COMM_WORLD_LOCAL_RANK': '1', 'BASH_FUNC_module()': '() {  eval `/usr/bin/modulecmd bash $*`\\n}', 'OMPI_UNIVERSE_SIZE': '6', 'OMPI_COMM_WORLD_RANK': '1', 'SSH_TTY': '/dev/pts/41', 'OMPI_MCA_mpi_yield_when_idle': '0', 'SGE_CELL': 'qb3cell', 'OMPI_MCA_ess': 'env', 'OMPI_MCA_shmem_RUNTIME_QUERY_hint': 'mmap', 'NSLOTS': '6', 'OMPI_MCA_orte_ess_vpid': '1', 'REQNAME': 'nup84.isd.modeling500_batchsubmit.sh', 'SSH_CLIENT': '24.4.149.176 58609 22', 'LOGNAME': 'saxen', 'SGE_QMASTER_PORT': '6444', 'PATH': '/salilab/diva1/home/imp/master/2.3.1/bin/fastmpi:/netopt/mpi/openmpi-1.6.5-nodlopen/bin:/usr/local/sge/bin/linux-x64:/tmp/8955506.1.long.q:/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin:/netapp/home/saxen/bin', 'OMPI_MCA_orte_ess_jobid': '3764256769', 'SGE_O_WORKDIR': '/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts', 'TERM': 'ansi', 'SGE_O_PATH': '/usr/local/sge/bin/linux-x86:/usr/local/bin:/bin:/usr/bin:/usr/local/sbin:/usr/sbin:/sbin:/netapp/home/saxen/bin', 'OPAL_OUTPUT_STDERR_FD': '29', 'SGE_ACCOUNT': 'sge', 'SGE_EXECD_PORT': '6445', 'ROSETTADIR': '/netapp/home/thompson/Rosetta/rosetta_2014.35', 'OMPI_MCA_orte_cpu_type': 'AuthenticAMD', 'MPI_HOME': '/netopt/mpi/openmpi-1.6.5-nodlopen', 'KRB5CCNAME': 'FILE:/tmp/krb5cc_60484_VVpK9q', 'SGE_O_LOGNAME': 'saxen', 'WISECONFIGDIR': '/usr/share/wise2/', 'SGE_ARCH': 'linux-x64', 'SGE_TASK_LAST': 'undefined', 'LOADEDMODULES': 'openmpi-1.6-nodlopen:sali-libraries-x86_64:imp-fast-mpi/2.3.1-x86_64', 'SGE_RSH_COMMAND': 'builtin', 'HISTCONTROL': 'ignoredups', 'PWD': '/netapp/home/saxen/bmi206_final_project/nup84_cv7/scripts', 'ARC': 'linux-x64', 'MPI_MAN': '/netopt/mpi/openmpi-1.6.5-nodlopen/share/man'}"} 
{0: '0', 1: '1.73286211491', 2: 459.556850127747, 3: '0', 4: '0'} 
{0: '1.0', 1: '1.44269990921', 2: 414.40367655317249, 3: '0.0', 4: '0.0'} 
{0: '1.0', 1: '1.2011244297', 2: 410.78923018366584, 3: '0.0', 4: '0.0'} 
{0: '0.666666666667', 1: '1.2011244297', 2: 403.23186123009617, 3: '0.0', 4: '0.0'} 
{0: '0.5', 1: '1.2011244297', 2: 381.26431556890185, 3: '0.0', 4: '0.0'} 
{0: '0.4', 1: '1.2011244297', 2: 378.56818735413952, 3: '0.0', 4: '0.0'} 
{0: '0.333333333333', 1: '1.2011244297', 2: 384.51941783749828, 3: '0.0', 4: '0.0'} 
{0: '0.285714285714', 1: '1.2011244297', 2: 384.40343728874655, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.2011244297', 2: 383.71009189205552, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '1.2011244297', 2: 383.12648470972675, 3: '0.0', 4: '0.0'} 
{0: '0.3', 1: '1.44269990921', 2: 384.73965886525741, 3: '0.0', 4: '0.0'} 
{0: '0.272727272727', 1: '1.44269990921', 2: 376.86641105575887, 3: '0.0', 4: '0.0'} 
{0: '0.333333333333', 1: '1.2011244297', 2: 376.21201673580799, 3: '0.0', 4: '0.0'} 
{0: '0.307692307692', 1: '1.2011244297', 2: 380.62792470842044, 3: '0.0', 4: '0.0'} 
{0: '0.285714285714', 1: '1.2011244297', 2: 381.37734187514445, 3: '0.0', 4: '0.0'} 
{0: '0.266666666667', 1: '1.2011244297', 2: 379.64459437859216, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.2011244297', 2: 378.87101119908669, 3: '0.0', 4: '0.0'} 
{0: '0.235294117647', 1: '1.2011244297', 2: 379.81829659944094, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '1.2011244297', 2: 361.01279400363586, 3: '0.0', 4: '0.0'} 
{0: '0.210526315789', 1: '1.2011244297', 2: 353.69010224714634, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.2011244297', 2: 351.88638845758999, 3: '0.0', 4: '0.0'} 
{0: '0.190476190476', 1: '1.2011244297', 2: 349.46879420492365, 3: '0.0', 4: '0.0'} 
{0: '0.181818181818', 1: '1.2011244297', 2: 352.62219210091246, 3: '0.0', 4: '0.0'} 
{0: '0.173913043478', 1: '1.2011244297', 2: 345.75194983744115, 3: '0.0', 4: '0.0'} 
{0: '0.166666666667', 1: '1.2011244297', 2: 352.20522776292972, 3: '0.0', 4: '0.0'} 
{0: '0.16', 1: '1.2011244297', 2: 346.12048452120115, 3: '0.0', 4: '0.0'} 
{0: '0.153846153846', 1: '1.2011244297', 2: 344.04893225800583, 3: '0.0', 4: '0.0'} 
{0: '0.148148148148', 1: '1.2011244297', 2: 356.59850230245365, 3: '0.0', 4: '0.0'} 
{0: '0.178571428571', 1: '1.44269990921', 2: 359.96855043898773, 3: '0.0', 4: '0.0'} 
{0: '0.172413793103', 1: '1.44269990921', 2: 349.21111258449338, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.2011244297', 2: 349.63155976891233, 3: '0.0', 4: '0.0'} 
{0: '0.193548387097', 1: '1.2011244297', 2: 348.83377532100559, 3: '0.0', 4: '0.0'} 
{0: '0.21875', 1: '1.44269990921', 2: 331.24829650942581, 3: '0.0', 4: '0.0'} 
{0: '0.212121212121', 1: '1.44269990921', 2: 352.6917158256469, 3: '0.0', 4: '0.0'} 
{0: '0.205882352941', 1: '1.44269990921', 2: 345.5473901151197, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.44269990921', 2: 338.74696626717775, 3: '0.0', 4: '0.0'} 
{0: '0.222222222222', 1: '1.2011244297', 2: 342.24882145785216, 3: '0.0', 4: '0.0'} 
{0: '0.216216216216', 1: '1.2011244297', 2: 337.84858828125101, 3: '0.0', 4: '0.0'} 
{0: '0.236842105263', 1: '1.44269990921', 2: 336.02026713573821, 3: '0.0', 4: '0.0'} 
{0: '0.230769230769', 1: '1.44269990921', 2: 348.91979992281944, 3: '0.0', 4: '0.0'} 
{0: '0.225', 1: '1.44269990921', 2: 332.71683137268377, 3: '0.0', 4: '0.0'} 
{0: '0.219512195122', 1: '1.44269990921', 2: 330.30937611715757, 3: '0.0', 4: '0.0'} 
{0: '0.238095238095', 1: '1.2011244297', 2: 346.1099179104433, 3: '0.0', 4: '0.0'} 
{0: '0.232558139535', 1: '1.2011244297', 2: 335.08933026309398, 3: '0.0', 4: '0.0'} 
{0: '0.25', 1: '1.44269990921', 2: 340.34197869310361, 3: '0.0', 4: '0.0'} 
{0: '0.244444444444', 1: '1.44269990921', 2: 335.99873130420582, 3: '0.0', 4: '0.0'} 
{0: '0.239130434783', 1: '1.44269990921', 2: 352.74577316280295, 3: '0.0', 4: '0.0'} 
{0: '0.234042553191', 1: '1.44269990921', 2: 340.28883608257206, 3: '0.0', 4: '0.0'} 
{0: '0.229166666667', 1: '1.44269990921', 2: 332.53185141059657, 3: '0.0', 4: '0.0'} 
{0: '0.224489795918', 1: '1.44269990921', 2: 347.35193779862328, 3: '0.0', 4: '0.0'} 
{0: '0.22', 1: '1.44269990921', 2: 331.41247378859322, 3: '0.0', 4: '0.0'} 
{0: '0.21568627451', 1: '1.44269990921', 2: 325.56463749094843, 3: '0.0', 4: '0.0'} 
{0: '0.211538461538', 1: '1.44269990921', 2: 311.28305885550054, 3: '0.0', 4: '0.0'} 
{0: '0.207547169811', 1: '1.44269990921', 2: 314.08863854028687, 3: '0.0', 4: '0.0'} 
{0: '0.203703703704', 1: '1.44269990921', 2: 315.55350148056073, 3: '0.0', 4: '0.0'} 
{0: '0.2', 1: '1.44269990921', 2: 327.47785257414256, 3: '0.0', 4: '0.0'} 
{0: '0.196428571429', 1: '1.44269990921', 2: 334.36952332526454, 3: '0.0', 4: '0.0'} 
{0: '0.19298245614', 1: '1.44269990921', 2: 318.57649091781508, 3: '0.0', 4: '0.0'} 
{0: '0.189655172414', 1: '1.44269990921', 2: 322.52176843881728, 3: '0.0', 4: '0.0'} 
{0: '0.186440677966', 1: '1.44269990921', 2: 336.56502592487158, 3: '0.0', 4: '0.0'} 
{0: '0.183333333333', 1: '1.44269990921', 2: 338.88026791509191, 3: '0.0', 4: '0.0'} 
{0: '0.180327868852', 1: '1.44269990921', 2: 335.10523896289857, 3: '0.0', 4: '0.0'} 
{0: '0.177419354839', 1: '1.44269990921', 2: 341.0462446479865, 3: '0.0', 4: '0.0'} 
{0: '0.174603174603', 1: '1.44269990921', 2: 335.62668188640714, 3: '0.0', 4: '0.0'} 
{0: '0.171875', 1: '1.44269990921', 2: 326.76513722228412, 3: '0.0', 4: '0.0'} 
{0: '0.169230769231', 1: '1.44269990921', 2: 333.29868467454048, 3: '0.0', 4: '0.0'} 
{0: '0.166666666667', 1: '1.44269990921', 2: 338.26978155571658, 3: '0.0', 4: '0.0'} 
{0: '0.164179104478', 1: '1.44269990921', 2: 331.21759089752447, 3: '0.0', 4: '0.0'} 
{0: '0.176470588235', 1: '1.2011244297', 2: 326.58090908561167, 3: '0.0', 4: '0.0'} 
{0: '0.173913043478', 1: '1.2011244297', 2: 319.75013241536772, 3: '0.0', 4: '0.0'} 
{0: '0.185714285714', 1: '1.44269990921', 2: 328.14634851443265, 3: '0.0', 4: '0.0'} 
{0: '0.183098591549', 1: '1.44269990921', 2: 332.08650384960401, 3: '0.0', 4: '0.0'} 
{0: '0.180555555556', 1: '1.44269990921', 2: 340.28055914340746, 3: '0.0', 4: '0.0'} 
{0: '0.178082191781', 1: '1.44269990921', 2: 324.3799192170668, 3: '0.0', 4: '0.0'} 
{0: '0.175675675676', 1: '1.44269990921', 2: 322.70196975103283, 3: '0.0', 4: '0.0'} 
{0: '0.173333333333', 1: '1.44269990921', 2: 328.2367559684543, 3: '0.0', 4: '0.0'} 
{0: '0.171052631579', 1: '1.44269990921', 2: 333.20078257326361, 3: '0.0', 4: '0.0'} 
{0: '0.168831168831', 1: '1.44269990921', 2: 326.88694201959152, 3: '0.0', 4: '0.0'} 
{0: '0.166666666667', 1: '1.44269990921', 2: 336.30061416571135, 3: '0.0', 4: '0.0'} 
{0: '0.164556962025', 1: '1.44269990921', 2: 325.12673583848357, 3: '0.0', 4: '0.0'} 
{0: '0.1625', 1: '1.44269990921', 2: 327.14530802513644, 3: '0.0', 4: '0.0'} 
{0: '0.16049382716', 1: '1.44269990921', 2: 348.26703835658657, 3: '0.0', 4: '0.0'} 
{0: '0.158536585366', 1: '1.44269990921', 2: 354.16074376470061, 3: '0.0', 4: '0.0'} 
{0: '0.156626506024', 1: '1.44269990921', 2: 348.93092216618737, 3: '0.0', 4: '0.0'} 
{0: '0.154761904762', 1: '1.44269990921', 2: 346.51614226348551, 3: '0.0', 4: '0.0'} 
{0: '0.152941176471', 1: '1.44269990921', 2: 330.59154619938948, 3: '0.0', 4: '0.0'} 
{0: '0.151162790698', 1: '1.44269990921', 2: 327.58047432957193, 3: '0.0', 4: '0.0'} 
{0: '0.149425287356', 1: '1.44269990921', 2: 333.61374224987577, 3: '0.0', 4: '0.0'} 
{0: '0.147727272727', 1: '1.44269990921', 2: 333.78821538389985, 3: '0.0', 4: '0.0'} 
